,fold_1,fold_2,fold_3,fold_4,fold_5,models,measure,targets,samplers,mean,std,se
0,49.26682001150087,51.61677753141167,50.532841823056295,49.54743255004351,49.54202586206897,NULL - weighted random,balanced_accuracy,target_Aroused,raw data,50.1,0.97,0.43379718763495917
1,7.6923076923076925,14.285714285714285,11.11111111111111,6.451612903225806,6.25,NULL - weighted random,precision,target_Aroused,raw data,9.16,3.47,1.551831176384854
2,7.772020725388601,13.586956521739129,10.135135135135135,6.493506493506493,6.369426751592357,NULL - weighted random,f-Beta,target_Aroused,raw data,8.87,3.04,1.359529330319872
3,50.0,50.0,50.0,50.0,50.0,NULL - most common class,balanced_accuracy,target_Aroused,raw data,50.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,NULL - most common class,precision,target_Aroused,raw data,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,NULL - most common class,f-Beta,target_Aroused,raw data,0.0,0.0,0.0
6,51.1860264519839,50.88075880758808,48.81702412868633,55.71801566579635,51.315553160919535,NULL - coin flip,balanced_accuracy,target_Aroused,raw data,51.58,2.52,1.126978260659894
7,9.375,11.0,9.268292682926829,8.823529411764707,7.327586206896551,NULL - coin flip,precision,target_Aroused,raw data,9.16,1.31,0.5858498101049449
8,11.180124223602483,13.033175355450238,11.046511627906975,10.638297872340425,8.881922675026123,NULL - coin flip,f-Beta,target_Aroused,raw data,10.96,1.48,0.6618761213399377
9,51.35135135135135,49.86449864498645,52.365951742627345,50.0,49.47916666666667,ada boost,balanced_accuracy,target_Aroused,raw data,50.61,1.21,0.5411284505549491
10,100.0,0.0,66.66666666666666,0.0,0.0,ada boost,precision,target_Aroused,raw data,33.33,47.14,21.081648891868017
11,12.195121951219514,0.0,19.23076923076923,0.0,0.0,ada boost,f-Beta,target_Aroused,raw data,6.29,8.96,4.007033815679623
12,49.202127659574465,49.32249322493225,52.67761394101876,49.08616187989556,53.219288793103445,bagging,balanced_accuracy,target_Aroused,raw data,50.7,2.06,0.9212600067299134
13,0.0,0.0,27.27272727272727,0.0,16.666666666666664,bagging,precision,target_Aroused,raw data,8.79,12.6,5.63489130329947
14,0.0,0.0,17.857142857142854,0.0,14.85148514851485,bagging,f-Beta,target_Aroused,raw data,6.54,9.02,4.03386663140962
15,50.021564117308806,48.6449864498645,49.90951742627346,48.56396866840731,49.93265086206897,decision tree,balanced_accuracy,target_Aroused,raw data,49.41,0.74,0.33093806066996884
16,9.090909090909092,0.0,9.090909090909092,0.0,6.896551724137931,decision tree,precision,target_Aroused,raw data,5.02,4.67,2.0884874909848032
17,6.17283950617284,0.0,5.952380952380953,0.0,6.896551724137931,decision tree,f-Beta,target_Aroused,raw data,3.8,3.49,1.5607754482948533
18,49.284790109258196,49.575018477457505,48.6058981233244,43.22019147084421,44.91738505747126,balanced decision tree,balanced_accuracy,target_Aroused,raw data,47.12,2.87,1.2835030190848793
19,8.547008547008547,10.309278350515463,8.60215053763441,3.7383177570093453,4.166666666666666,balanced decision tree,precision,target_Aroused,raw data,7.07,2.94,1.3148079707698763
